"","LED","Month","LEM_Acct_Val","Return_Qty"
"150","LED-203-35","March",12.56,23
"151","LED-203-35","May",12.56,40
"152","LED-203-30-HI","April",12.39,4
"153","LED-203-30-HI","February",12.39,4
"154","LED-203-30-HI","January",12.39,3
"155","LED-203-30-HI","June",12.39,49
"156","LED-203-30-HI","March",12.39,1
"157","LED-203-30-HI","May",12.39,10
"158","LED-203-30","April",12.56,57
"159","LED-203-30","February",12.56,39
"160","LED-203-30","January",12.56,14
"161","LED-203-30","June",12.56,2817
"162","LED-203-30","March",12.56,14
"163","LED-203-30","May",12.56,1
"164","LED-203-27-HI","April",12.39,9
"165","LED-203-27-HI","February",12.39,1
"166","LED-203-27-HI","January",12.39,36
"167","LED-203-27-HI","June",12.39,29
"168","LED-203-27-HI","March",12.39,6
"169","LED-203-27-HI","May",12.39,2
"170","LED-203-27","April",12.56,2
"171","LED-203-27","June",12.56,8
"172","LED-203-27","March",12.56,44
"173","LED-203-27","May",12.56,6
"174","LED-198-H70-3022","April",32.89,1
"175","LED-198-H70-3022","March",32.89,15
