"","E2","Month","SP_Acct_Val","Return_Qty"
"174","E2-532","June",30.95,9
"175","E2-527","April",23.09,2
"176","E2-527","April",23.49,2
"177","E2-527","February",23.09,2
"178","E2-527","January",18.08,1
"179","E2-527","January",18.12,51
"180","E2-527","June",18.08,2
"181","E2-527","March",20.57,10
"182","E2-527","March",23.09,23
"183","E2-527","May",18.08,4
"184","E2-527","May",20.57,6
"185","E2-527","May",23.09,2
"186","E2-526","April",21.37,3
"187","E2-526","April",23.88,2
"188","E2-526","April",27.37,4
"189","E2-526","February",19.49,67
"190","E2-526","February",21.37,30
"191","E2-526","February",24.11,1
"192","E2-526","January",19.49,17
"193","E2-526","January",21.21,4
"194","E2-526","January",21.37,5
"195","E2-526","January",27.82,34
"196","E2-526","January",76.46,2
"197","E2-526","June",21.2,2
"198","E2-526","June",21.37,3
"199","E2-526","March",19.49,69
"200","E2-526","March",21.22,1
"201","E2-526","March",21.37,69
"202","E2-526","March",27.36,19
"203","E2-526","March",28.6,2
"204","E2-526","May",21.37,7
"205","E2-526","May",28.6,1
"206","E2-526","May",58.29,12
"207","E2-520","April",36.15,1
"208","E2-520","April",50.84,1
"209","E2-520","February",36.55,1
"210","E2-520","February",37.45,1
"211","E2-520","January",49.7,1
"212","E2-516","April",36.72,2
"213","E2-516","June",30.19,2
"214","E2-493","March",57.77,4
"215","E2-491","January",60.8,10
"216","E2-490","February",61.99,2
"217","E2-488","February",52.26,2
"218","E2-486","January",67.89,2
"219","E2-486","June",67.89,1
"220","E2-486","May",67.89,1
"221","E2-469","April",73.32,1
"222","E2-469","June",72.92,5
"223","E2-469","June",76.59,13
"224","E2-469","March",72.92,2
"225","E2-469","March",74.84,2
"226","E2-469","March",76.59,9
"227","E2-468","April",51.68,12
"228","E2-468","April",52.74,3
"229","E2-468","February",55.42,2
"230","E2-468","January",51.68,2
"231","E2-468","January",51.82,2
"232","E2-468","June",51.68,4
"233","E2-468","June",54.34,1
"234","E2-468","June",54.67,3
"235","E2-455","February",63.67,1
"236","E2-454","April",54.47,2
"237","E2-454","February",54.47,4
"238","E2-454","May",49.16,2
"239","E2-419","April",60.65,1
"240","E2-419","March",60.65,5
"241","E2-417","April",40.29,2
"242","E2-417","January",40.29,3
"243","E2-409","January",32.73,1
"244","E2-405","January",31.86,18
"245","E2-405","May",26.88,4
"246","E2-404","April",17.95,25
"247","E2-404","April",24.4,1
"248","E2-404","February",17.95,11
"249","E2-404","February",21.02,1
"250","E2-404","January",17.95,21
"251","E2-404","January",22.24,1
"252","E2-404","January",24.4,1
"253","E2-404","June",16.57,2
"254","E2-404","June",17.95,2
"255","E2-404","March",17.95,27
"256","E2-404","March",18.87,3
"257","E2-404","May",17.95,11
"258","E2-404","May",18.11,2
"259","E2-402","February",25.22,1
"260","E2-389","April",20.76,8
"261","E2-389","February",17.98,2
"262","E2-389","February",23.27,1
"263","E2-389","January",17.98,2
"264","E2-389","June",17.98,12
"265","E2-389","June",19.82,7
"266","E2-389","May",23.27,24
"267","E2-389","May",28.82,5
"268","E2-388","April",19.24,7
"269","E2-388","April",22.6,14
"270","E2-388","February",22.6,5
"271","E2-388","February",27.26,1
"272","E2-388","May",22.6,2
"273","E2-284","April",31.47,1
"274","E2-283","January",24.5,1
"275","E2-283","June",26.67,2
"276","E2-283","March",21.14,12
"277","E2-283","March",28.69,1
"278","E2-1013","April",53.94,3
"279","E2-1013","April",62.42,5
"280","E2-1013","February",61.94,4
"281","E2-1013","June",53.94,3
"282","E2-1013","March",53.94,1
"283","E2-1013","May",53.94,7
"284","E2-1013","May",61.94,13
