# of RMAs,Qty,E2,DIM_Type
4,86,E2-404,2
6,75,E2-526,2
1,51,E2-527,SP
1,18,E2-405,9
3,15,E2-906,6E
1,10,E2-491,4
1,8,E2-622,2M
3,8,E2-877,22
1,5,E2-721,2
3,5,E2-887,22
1,4,E2-468,3
1,4,E2-907,6E
1,3,E2-417,2
1,3,E2-610,23X1
1,3,E2-721,1
2,3,E2-901,6A
1,3,E2-983,22
1,2,E2-283,2
1,2,E2-389,2
2,2,E2-486,3
1,2,E2-526,4
1,2,E2-527,2
1,2,E2-698,6E
1,2,E2-739,6E
1,2,E2-786,6E
1,1,E2-409,6A
1,1,E2-520,7
1,1,E2-676,4H
1,1,E2-696,4H
1,1,E2-721,19
1,1,E2-801,3
1,1,E2-890,4E
1,1,E2-906,6F
