# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_Price,,,,,,,,,,
2,457,E2-526,2,$15.72 ,$24.78 ,"$11,324.46 ",,E2,Qty,,,,,,,
2,92,E2-526,2,$15.72 ,$19.49 ,"$1,793.08 ",,E2-733,26,,228,"$8,163.90 ",245,"$6,859.55 ",17,"($1,304.35)"
1,30,E2-454,3,$45.39 ,$54.65 ,"$1,639.53 ",,E2-526,19,,203,"$6,301.67 ",208,"$5,198.93 ",5,"($1,102.74)"
1,20,E2-526,2,$15.72 ,$28.60 ,$572.00 ,,E2-404,12,,269,"$8,328.44 ",401,"$10,940.78 ",132,"$2,612.34 "
2,10,E2-527,2,$14.31 ,$23.49 ,$234.90 ,,E2-527,11,,133,"$3,867.38 ",222,"$6,161.55 ",89,"$2,294.17 "
1,10,E2-721,19,$18.96 ,$25.27 ,$252.70 ,,E2-906,11,,139,"$4,450.39 ",176,"$5,771.81 ",37,"$1,321.42 "
1,9,E2-283,2,$14.57 ,$21.14 ,$190.26 ,,E2-469,10,,133,"$4,447.02 ",277,"$11,139.23 ",144,"$6,692.21 "
4,8,E2-877,22,$11.99 ,$20.43 ,$163.44 ,,E2-925,6,,150,"$4,294.20 ",290,"$7,540.26 ",140,"$3,246.06 "
1,7,E2-527,2,$14.31 ,$23.09 ,$161.63 ,,E2-283,5,,322,"$9,691.90 ",215,"$6,048.51 ",-107,"($3,643.39)"
1,6,E2-388,2,$12.67 ,$22.60 ,$135.60 ,,E2-526,5,,180,"$4,666.05 ",142,"$5,195.92 ",-38,$529.87 
1,6,E2-488,3,$45.39 ,$52.26 ,$313.56 ,,E2-877,5,,227,"$6,036.35 ",222,"$5,857.13 ",-5,($179.22)
2,6,E2-516,D6A,$24.15 ,$53.82 ,$322.90 ,,E2-887,5,,218,"$5,827.78 ",287,"$8,897.58 ",69,"$3,069.80 "
1,5,E2-389,2,$14.21 ,$20.76 ,$103.80 ,,E2-906,5,,326,"$8,643.97 ",732,"$19,391.53 ",406,"$10,747.56 "
1,5,E2-389,2,$14.21 ,$28.82 ,$144.10 ,,E2-468,4,,2528,74719.05,3417,99002.78,,
1,4,E2-284,2,$23.46 ,$31.47 ,$125.88 ,,E2-721,3,,,,,,,
,,,,,,,,E2-721,3,,,,,,,
