Reason.Code,Number_of_RMAs,Qty
OE,5,1193
ELE,117,674
OTHER,5,135
CRO,3,114
PRO,3,74
RWK,3,72
QUO,3,65
ASS,3,52
ENG,1,19
CNN,1,18
SHIP,5,18
PAC,2,14
QC,1,12
PRD,2,6
COS,2,3
FRT,1,2
