"","Reason.Code","Number_of_RMAs","Qty"
"1","ELE",110,525
"2","FRT",2,151
"3","CNN",3,120
"4","OTHER",8,55
"5","SHIP",4,49
"6","PRO",3,28
"7","QUO",1,24
"8","OE",2,22
"9","RWK",1,18
"10","ASS",2,4
"11","COS",1,1
