"","reason","Number_of_RMAs","Qty"
"1","Electrical",75,426
"2","Manufacturing error",4,6
"3","Shipping Error",4,286
"4","Damaged In Transit",3,49
"5","Changes Not Needed",2,43
"6","Rep error",2,101
"7","Order Entry Error",1,38
"8","QC Error",1,1
"9",NA,1,2
