"","Reason.Code","Number_of_RMAs","Qty"
"1","CNN",2,1840
"2","ELE",99,672
"3","OE",10,418
"4","CRO",3,25
"5","ENG",1,22
"6","SHIP",5,14
"7","RWK",1,8
"8","OTHER",1,6
"9","FRT",1,3
"10",NA,1,3
"11","COS",1,2
"12","ASS",1,1
