"","LED","Month","LEM_Acct_Val","Return_Qty"
"157","LED-240-S00-30","February",15.71,21
"158","LED-240-S00-30","January",15.71,13
"159","LED-240-S00-30","July",15.71,5
"160","LED-240-S00-30","June",15.71,24
"161","LED-240-S00-30","March",15.71,179
"162","LED-240-S00-30","May",15.71,3
"163","LED-240-S00-30","November",15.71,15
"164","LED-240-S00-30","October",15.71,13
"165","LED-240-S00-30","September",15.71,10
"166","LED-240-S00-27","April",15.71,9
"167","LED-240-S00-27","August",15.71,1
"168","LED-240-S00-27","February",15.71,158
"169","LED-240-S00-27","January",15.71,2
"170","LED-240-S00-27","July",15.71,4
"171","LED-240-S00-27","March",15.71,11
"172","LED-240-S00-27","November",15.71,3
"173","LED-240-S00-27","October",15.71,10
"174","LED-240-H01-40","June",15.71,3
"175","LED-240-H01-35","January",15.71,1
"176","LED-240-H01-35","July",15.71,1
"177","LED-240-H01-35","June",15.71,1
"178","LED-240-H01-35","November",15.71,13
"179","LED-240-H01-35","September",15.71,30
"180","LED-240-H00-30","August",15.71,1
"181","LED-240-H00-30","December",15.71,3
"182","LED-240-H00-30","February",15.71,15
"183","LED-240-H00-30","January",15.71,15
"184","LED-240-H00-30","July",15.71,1
"185","LED-240-H00-30","June",15.71,135
"186","LED-240-H00-30","March",15.71,6
"187","LED-240-H00-30","May",15.71,143
"188","LED-240-H00-30","November",15.71,3
"189","LED-240-H00-30","September",15.71,1
"190","LED-240-H00-27","August",15.71,8
"191","LED-240-H00-27","February",15.71,7
"192","LED-240-H00-27","January",15.71,9
"193","LED-240-H00-27","May",15.71,7
"194","LED-239-S00-40","February",15.63,1
"195","LED-239-S00-35","September",15.63,3
"196","LED-239-S00-27","February",15.63,232
"197","LED-239-S00-27","July",15.63,5
"198","LED-239-H00-27","June",15.63,1
"199","LED-236-S00-35","September",41.81,2
"200","LED-236-S00-30","December",41.81,1
"201","LED-236-S00-30","January",41.81,2
"202","LED-234-S00-3022","August",70.5,1
"203","LED-230-S02-30","January",26.6,7
"204","LED-230-S02-27","March",26.6,3
"205","LED-230-S01-30","January",26.6,2
"206","LED-230-H02-27","December",26.6,14
"207","LED-219-S00-6022","December",20.73,3
"208","LED-219-S00-6022","February",20.73,1
"209","LED-219-S00-6022","July",20.73,5
"210","LED-219-S00-6022","June",20.73,4
"211","LED-219-S00-6022","March",20.73,1
"212","LED-219-S00-6022","October",20.73,2
"213","LED-219-S00-6022","September",20.73,1
"214","LED-218-S00-35","February",42.35,4
"215","LED-218-S00-35","June",42.35,2
"216","LED-218-S00-35","March",42.35,3
"217","LED-218-S00-30","February",42.35,1
"218","LED-213-S00-40","April",13.61,1
"219","LED-213-S00-40","January",13.61,1
"220","LED-213-S00-40","July",13.61,1
"221","LED-213-S00-40","June",13.61,1
"222","LED-213-S00-40","March",13.61,1
"223","LED-213-S00-35","April",13.61,4
"224","LED-213-S00-35","August",13.61,32
"225","LED-213-S00-35","December",13.61,8
"226","LED-213-S00-35","February",13.61,8
"227","LED-213-S00-35","January",13.61,10
"228","LED-213-S00-35","July",13.61,30
"229","LED-213-S00-35","June",13.61,6
"230","LED-213-S00-35","March",13.61,8
"231","LED-213-S00-35","May",13.61,9
"232","LED-213-S00-35","November",13.61,10
"233","LED-213-S00-35","October",13.61,27
"234","LED-213-S00-35","September",13.61,45
"235","LED-213-S00-30","April",13.61,13
"236","LED-213-S00-30","August",13.61,12
"237","LED-213-S00-30","December",13.61,1
"238","LED-213-S00-30","February",13.61,3
"239","LED-213-S00-30","January",13.61,29
"240","LED-213-S00-30","June",13.61,1
"241","LED-213-S00-30","March",13.61,2
"242","LED-213-S00-30","May",13.61,5
"243","LED-213-S00-30","November",13.61,5
"244","LED-213-S00-27","February",13.61,4
"245","LED-213-S00-27","July",13.61,1
"246","LED-213-S00-27","October",13.61,15
"247","LED-212-S00-6022","August",23.41,9
"248","LED-212-S00-6022","January",23.41,10
"249","LED-212-S00-6022","June",23.41,10
"250","LED-212-S00-6022","March",23.41,5
"251","LED-212-S00-6022","November",23.41,2
"252","LED-212-S00-6022","September",23.41,2
"253","LED-204-S00-3522","August",18.27,1
"254","LED-204-S00-3522","September",18.27,1
"255","LED-204-S00-3022","February",15.15,1
"256","LED-204-S00-3022","June",15.15,1
"257","LED-204-S00-3022","March",15.15,2
"258","LED-204-S00-2722","February",15.05,4
"259","LED-204-S00-2722","November",15.05,5
"260","LED-204-S00-2722","October",15.05,8
"261","LED-204-H00-3022","April",15.23,1
"262","LED-204-H00-3022","August",15.23,1
"263","LED-204-H00-3022","December",15.23,1
"264","LED-204-H00-3022","February",15.23,4
"265","LED-204-H00-3022","June",15.23,5
"266","LED-204-H00-3022","November",15.23,1
"267","LED-204-H00-3022","October",15.23,3
"268","LED-204-H00-2722","March",15.06,5
"269","LED-204-H00-2722","October",15.06,2
"270","LED-203-40","August",12.56,18
"271","LED-203-40","February",12.56,9
"272","LED-203-40","January",12.56,18
"273","LED-203-40","March",12.56,13
"274","LED-203-35","April",12.56,7
"275","LED-203-35","August",12.56,65
"276","LED-203-35","December",12.56,1
"277","LED-203-35","February",12.56,24
"278","LED-203-35","January",12.56,18
"279","LED-203-35","July",12.56,20
"280","LED-203-35","June",12.56,52
"281","LED-203-35","March",12.56,20
"282","LED-203-35","May",12.56,14
"283","LED-203-35","October",12.56,7
"284","LED-203-35","September",12.56,10
"285","LED-203-30-HI","April",12.39,3
"286","LED-203-30-HI","August",12.39,4
"287","LED-203-30-HI","February",12.39,4
"288","LED-203-30-HI","January",12.39,11
"289","LED-203-30-HI","July",12.39,11
"290","LED-203-30-HI","March",12.39,14
"291","LED-203-30-HI","October",12.39,22
"292","LED-203-30-HI","September",12.39,4
"293","LED-203-30","April",12.56,57
"294","LED-203-30","August",12.56,24
"295","LED-203-30","December",12.56,1
"296","LED-203-30","February",12.56,43
"297","LED-203-30","January",12.56,113
"298","LED-203-30","July",12.56,33
"299","LED-203-30","June",12.56,31
"300","LED-203-30","March",12.56,23
"301","LED-203-30","May",12.56,57
"302","LED-203-30","November",12.56,16
"303","LED-203-30","October",12.56,9
"304","LED-203-30","September",12.56,48
"305","LED-203-27-HI","August",12.39,11
"306","LED-203-27-HI","February",12.39,21
"307","LED-203-27-HI","January",12.39,18
"308","LED-203-27-HI","July",12.39,20
"309","LED-203-27-HI","March",12.39,1
"310","LED-203-27-HI","November",12.39,1
"311","LED-203-27-HI","October",12.39,5
"312","LED-203-27-HI","September",12.39,116
"313","LED-203-27","August",12.56,1
"314","LED-203-27","December",12.56,7
"315","LED-203-27","February",12.56,5
"316","LED-203-27","January",12.56,16
"317","LED-203-27","July",12.56,10
"318","LED-203-27","June",12.56,10
"319","LED-203-27","March",12.56,1
"320","LED-203-27","May",12.56,6
"321","LED-203-27","November",12.56,79
"322","LED-203-27","October",12.56,18
"323","LED-203-27","September",12.56,5
"324","LED-198-S70-3022","March",32.89,3
"325","LED-198-S70-3022","September",32.89,5
"326","LED-198-S70-2722","August",32.89,14
"327","LED-198-S70-2722","December",32.89,1
"328","LED-198-S70-2722","January",32.89,28
"329","LED-198-H70-2722","August",32.89,3
