# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,,,,,,
1,25,E2-707,2,14.56,25.64,641,,1,25,E2-707,2,$14.56,$25.64,$641.00
5,20,E2-526,2,15.72,28.6,572,,5,20,E2-526,2,$15.72,$28.60,$572.00
1,17,E2-767,2,15.6,30.18,513.06,,1,17,E2-767,2,$15.60,$30.18,$513.06
1,15,E2-526,2,15.72,21.22,318.3,,1,15,E2-526,2,$15.72,$21.22,$318.30
1,15,E2-526,2,15.72,24.78,371.7,,1,15,E2-526,2,$15.72,$24.78,$371.70
1,11,E2-709,6F,13.25,23.27,255.97,,1,11,E2-709,6F,$13.25,$23.27,$255.97
1,10,E2-887,22,12.19,16.13,161.3,,1,10,E2-887,22,$12.19,$16.13,$161.30
2,9,E2-404,2,12.3,17.95,161.55,,2,9,E2-404,2,$12.30,$17.95,$161.55
1,8,E2-527,2,14.31,23.09,184.72,,1,8,E2-527,2,$14.31,$23.09,$184.72
1,8,E2-877,22,11.99,21.56,172.48,,1,8,E2-877,22,$11.99,$21.56,$172.48
1,7,E2-283,2,14.57,21.14,147.98,,1,7,E2-283,2,$14.57,$21.14,$147.98
1,7,E2-515,6A,23,34.08,238.56,,1,7,E2-515,6A,$23.00,$34.08,$238.56
4,6,E2-907,6E,13.25,23.01,138.06,,4,6,E2-907,6E,$13.25,$23.01,$138.06
1,6,E2-926,4P,51,60.84,365.04,,1,6,E2-926,4P,$51.00,$60.84,$365.04
1,5,E2-527,2,14.31,18.08,90.4,,1,5,E2-527,2,$14.31,$18.08,$90.40
1,5,E2-702,6E,13.91,26.69,133.45,,,,,,,,
1,5,E2-736,6E,15,54.82,274.1,,,,,,,,
1,4,E2-526,2,15.72,22.36,89.44,,,,,,,,
3,4,E2-906,6E,13.25,23.08,92.32,,,,E2-707,25,,,
1,3,E2-721,19,17.83,22.18,66.54,,,,E2-526,20,,,
2,3,E2-721,19,18.96,29.01,87.03,,,,E2-767,17,,,
2,3,E2-887,22,12.19,20.64,61.92,,,,E2-526,15,,,
2,3,E2-906,6E,13.25,26.34,79.02,,,,E2-526,15,,,
2,2,E2-783,6E,15,27.61,55.22,,,,E2-709,11,,,
1,2,E2-804,21,6.32,15.93,31.86,,,,E2-887,10,,,
1,2,E2-901,6A,23,33.18,66.36,,,,E2-404,9,,,
1,1,E2-283,2,14.57,26.67,26.67,,,,E2-527,8,,,
1,1,E2-404,2,12.3,24.4,24.4,,,,E2-877,8,,,
1,1,E2-516,6A,23,36.72,36.72,,,,E2-283,7,,,
1,1,E2-526,2,15.72,25.81,25.81,,,,E2-515,7,,,
1,1,E2-526,2,15.72,27.37,27.37,,,,E2-907,6,,,
1,1,E2-527,2,14.31,20.57,20.57,,,,E2-926,6,,,
1,1,E2-567,2,17.72,50.99,50.99,,,,E2-527,5,,,
1,1,E2-702,6E,13.25,22.82,22.82,,,,,,,,
1,1,E2-732,6E,15,24,24,,,,,,,,
1,1,E2-877,22,11.99,20.43,20.43,,,,,,,,
1,1,E2-885,4E,35.19,42.3,42.3,,,,,,,,
1,1,E2-887,22,12.19,22.41,22.41,,,,,,,,
1,1,E2-906,6E,13.25,23.01,23.01,,,,,,,,
1,1,E2-906,6E,13.91,17.89,17.89,,,,,,,,
1,1,E2-909,6E,15,28.15,28.15,,,,,,,,
1,1,E2-909,6E,15.75,25.67,25.67,,,,,,,,
1,1,E2-989,28,24.75,48.54,48.54,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,222,,,,,5857.13,,,,,,,,
