Item ID,Rev Level,Item Name
LED-198-H50-2722,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 500mA 24W HI CRI-2700-2200K
LED-198-H70-2722,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 700mA 32W HI CRI-2700-2200K
LED-198-H70-3022,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 700mA 32W HI CRI-3000-2200K
LED-198-S35-2722,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 350mA 16W STD CRI-2700-2200K
LED-198-S35-3022,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 350mA 16W STD CRI-3000-2200K
LED-198-S35-3522,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 350mA 16W STD CRI-3500-2200K
LED-198-S50-3022,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 350mA 24W STD CRI-3000-2200K
LED-198-S70-2722,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 700mA 32W STD CRI-2700-2200K
LED-198-S70-3022,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 700mA 32W STD CRI-3000-2200K
LED-198-S70-3522,F,LIGHT ENGINE-(16)  XTE WARM GLO DIM TECH 700mA 32W STD CRI-3500-2200K
LED-204-H00-2722,C,"LIGHT ENGINE - (3) XTE (10) XBD MINI/NANO WARM GLOW TECH, HI CRI- 2700-2200K"
LED-204-H00-3022,C,"LIGHT ENGINE - (3) XTE (10) XBD MINI/NANO WARM GLOW TECH, HI CRI- 3000-2200K"
LED-204-S00-2722,C,"LIGHT ENGINE - (3) XTE (10) XBD MINI/NANO WARM GLOW TECH, STD CRI- 2700-2200K"
LED-204-S00-3022,C,"LIGHT ENGINE - (3) XTE (10) XBD MINI/NANO WARM GLOW TECH, STD CRI- 3000-2200K"
LED-204-S00-3522,C,"LIGHT ENGINE - (3) XTE (10) XBD MINI/NANO WARM GLOW TECH, STD CRI- 3500-2200K"
LED-206-S35-3522,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 350mA 16W STD CRI-3500-2200K
LED-206-S35-4022,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 350mA 16W STD CRI-4000-2200K
LED-206-S50-3522,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 500mA 24W STD CRI-3500-2200K
LED-206-S50-4022,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 500mA 24W STD CRI-4000-2200K
LED-206-S70-3522,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 700mA 32W STD CRI-3500-2200K
LED-206-S70-4022,B,LIGHT ENGINE-(16)  XTE COLOR CURVE DIM TECH 700mA 32W STD CRI-4000-2200K
LED-207-H35-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 350mA 16W HI CRI-2700-2200K
LED-207-H35-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 350mA 16W HI CRI-3000-2200K
LED-207-H50-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 500mA 24W HI CRI-2700-2200K
LED-207-H50-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 500mA 24W HI CRI-3000-2200K
LED-207-H70-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 700mA 32W HI CRI-2700-2200K
LED-207-H70-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 700mA 32W HI CRI-3000-2200K
LED-207-S35-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 350mA 16W STD CRI-2700-2200K
LED-207-S35-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 350mA 16W STD CRI-3000-2200K
LED-207-S50-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 500mA 24W STD CRI-2700-2200K
LED-207-S50-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 500mA 24W STD CRI-3000-2200K
LED-207-S70-2722,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10DEG 700mA 32W STD CRI-2700-2200K
LED-207-S70-3022,A,LIGHT ENGINE-(16) XTE WARM GLO DIM TECH 10 DEG 700mA 32W STD CRI-3000-2200K
LED-208-S35-3522,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 350mA 16W STD CRI-3500-2200K
LED-208-S35-4022,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 350mA 16W STD CRI-4000-2200K
LED-208-S50-3522,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 500mA 24W STD CRI-3500-2200K
LED-208-S50-4022,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 500mA 24W STD CRI-4000-2200K
LED-208-S70-3522,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 700mA 32W STD CRI-3500-2200K
LED-208-S70-4022,A,LIGHT ENGINE-(16) XTE COLOR CURVE TECH 10DEG 700mA 32W STD CRI-4000-2200K
LED-210,A,LIGHT ENGINE-(8) LUMILED REBEL AMBER
LED-212-S00-3522,A,LIGHT ENGINE-(24)  XTE COLOR TUNE STD CRI-3500-2200K
LED-212-S00-6022,E,LIGHT ENGINE-(24)  XTE COLOR SELECT STD CRI-6000-2200K
LED-212-S00-6027,A,LIGHT ENGINE-(24) XTE COLOR TUNE STD CRI-6000-2700K
LED-213,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC
LED-213-H00-27,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC-2700K HI CRI
LED-213-H00-30,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC-3000K HI CRI
LED-213-S00-27,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC-2700K
LED-213-S00-30,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC-3000K
LED-213-S00-35,B,LIGHT ENGINE (1) MTG-2 BEVEL BASIC-3500K
LED-218-H00-27,C,LIGHT ENGINE-(18) CREE XML-2 .50- 1.4A 90+ CRI -2700K
LED-218-H00-30,C,LIGHT ENGINE-(18) CREE XML-2 .50- 1.4A 90+ CRI -3000K
LED-218-S00-27,C,LIGHT ENGINE-(18) CREE XML-2 .50- .70A 80+ CRI -2700K
LED-218-S00-30,C,LIGHT ENGINE-(18) CREE XML-2 .50- .70A 80+ CRI -3000K
LED-218-S00-35,C,LIGHT ENGINE-(18) CREE XML-2 .50- .70A 80+ CRI -3500K
LED-218-S00-40,C,LIGHT ENGINE-(18) CREE XML-2 .50- .70A 80+ CRI -4000K
LED-218-S00-50,C,LIGHT ENGINE - (18) CREE XML-2 .5-1.3A 75 CRI -5000K
LED219-S00-6022,B,LIGHT ENGINE-(10/10) XBD/XBH COLOR SELECT MINI STD CRI-6000-2200K
LED-219-S00-6022,B,LIGHT ENGINE-(10/10) XBD/XBH COLOR SELECT MINI STD CRI-6000-2200K
LED219-S00-6027,B,LIGHT ENGINE-(10/10) XBD/XBH COLOR SELECT MINI STD CRI-6000-2700K
LED-229-S00-3522,A,"LIGHT ENGINE -(3) XTE (10) XBD MINI/NANO COLOR CURVE TECH, STD CRI-3500-2200K"
LED-229-S00-4022,A,"LIGHT ENGINE -(3) XTE (10) XBD MINI/NANO COLOR CURVE TECH, STD CRI-4000-2200K"
LED-230-H01-27,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A HI CRI 2700K"
LED-230-H01-30,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A HI CRI 3000K"
LED-230-H02-27,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A HI CRI 2700K"
LED-230-H02-30,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A HI CRI 3000K"
LED-230-S01-27,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A STD CRI 2700K"
LED-230-S01-30,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A STD CRI 3000K"
LED-230-S01-35,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A STD CRI 3500K"
LED-230-S01-40,B,"LIGHT ENGINE - (7) CREE XML-2, 12-16W, .50-.70A STD CRI 4000K"
LED-230-S02-27,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A STD CRI 2700K"
LED-230-S02-30,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A STD CRI 3000K"
LED-230-S02-35,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A STD CRI 3500K"
LED-230-S02-40,B,"LIGHT ENGINE - (7) CREE XML-2, 24-33W, 1.0-1.4A STD CRI 4000K"
LED-231-H01-27,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A HI CRI 2700K"
LED-231-H01-30,A,"LIGHT ENGINE-(7) CREE XML-2  10DEG WIDE ARRAY 12- 16W, .50-.70A HI CRI 3000K"
LED-231-H02-27,A,"LIGHT ENGINE-(7) CREE XML-2, 10DEG WIDE ARRAY 24- 33W, 1.0-1.4A HI CRI 2700K"
